label,job_id,mode,k,status,nodes,gpus_per_node,generation_tp,draft_tp,train_tp,train_pp,train_cp,train_ep,max_steps,completed_steps,baseline_generation_time_s,observed_generation_time_s,observed_generation_speedup,acceptance_rate_pct,latest_evidence,log_path
public_pard_k3_noncolocated_tp4_fixed1024_step3,3209171,public_pard,3,completed_metrics,36,4,4,4,2,8,2,16,3,3,227.5400,126.5950,1.797,50.66,"First Qwen3-235B decode-heavy ramp beyond the validated fixed256 result. Shape is 32 train nodes plus 4 generation-only nodes, fixed decode 1024, GBS256, generation TP4, draft TP4, always-on PARD, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 16384, gpu_memory_utilization 0.70, NeMo-RL latest-main worker venv with vLLM 0.20.0. Driver confirms SpeculativeConfig(method='draft_model', model=amd/PARD-Qwen3-0.6B snapshot, num_spec_tokens=3). Step2-3 avg total 169.38s, generation 126.60s, E2E 11.71 tok/s/GPU, generation 140.44 tok/s/GPU. Against baseline Step2-3 avg this is 1.580x total-step speedup, 1.797x generation-time speedup, 1.591x E2E throughput speedup, and 1.804x generation-throughput speedup. Acceptance Step2-3 weighted avg 50.66% from 27 emitted samples.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3209171-logs/ray-driver.log
baseline_noncolocated_tp4_fixed256_step20,3210069,no_specdec,0,failed_before_step_checkpoint_race,36,4,4,0,2,8,2,16,20,0,,,,,"Submitted at user request to validate whether the clean Qwen3-235B non-colocated TP4 Full-GRPO shape can run stably for up to 20 steps. Shape is 32 train nodes plus 4 generation-only nodes, fixed decode 256, GBS256, generation TP4, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 8192, gpu_memory_utilization 0.70. Failed before Step 1 in MegatronPolicyWorker.__init__; not an OOM or performance result. Root cause matches previous concurrent-conversion race: checkpoint directory existed, so ranks skipped import, but iter_0000000/run_config.yaml was missing on many ranks. Retry baseline with a unique NRL_MEGATRON_CHECKPOINT_DIR/RUN_TAG.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3210069-logs/ray-driver.log
public_pard_k3_noncolocated_tp4_fixed256_step20,3210070,public_pard,3,failed_after_step16_nccl_watchdog_timeout,36,4,4,4,2,8,2,16,20,16,56.7807,30.9273,1.836,57.70,"Submitted at user request to validate whether the clean Qwen3-235B non-colocated TP4 Full-GRPO PARD K3 path can run stably for up to 20 steps. Shape is 32 train nodes plus 4 generation-only nodes, fixed decode 256, GBS256, generation TP4, draft TP4, always-on PARD, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 8192, gpu_memory_utilization 0.70. Driver log confirms cluster.num_nodes=36, policy.generation.colocated.enabled=false, policy.generation.max_new_tokens=256, vLLM v0.20.0, and SpeculativeConfig(method='draft_model', model=amd/PARD-Qwen3-0.6B snapshot, num_spec_tokens=3). Step1-16 emitted metrics; acceptance avg 57.70% over 70 buckets. Matched against baseline retry 3210159 Step2-16: total 60.53s vs 88.00s = 1.454x, generation 30.93s vs 56.78s = 1.836x, E2E 11.26 vs 7.70 tok/s/GPU = 1.461x, generation throughput 196.70 vs 107.01 tok/s/GPU = 1.838x. Failed after Step16 with 600s NCCL watchdog collective timeouts in expert/context/pipeline groups; this is not an OOM but it is not a 20/20 stability pass.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3210070-logs/ray-driver.log
baseline_noncolocated_tp4_fixed256_step20_retry_unique,3210159,no_specdec,0,failed_after_step16_nccl_watchdog_timeout,36,4,4,0,2,8,2,16,20,16,,56.7807,,,"Baseline-only retry after 3210069 failed before Step 1 due concurrent checkpoint conversion race. Uses RUN_TAG=noncolocated_tp4_fixed256_step20_baselineonly_20260608 so NRL_MEGATRON_CHECKPOINT_DIR is unique. Same clean non-colocated TP4 fixed256 Full-GRPO shape: 32 train nodes plus 4 generation-only nodes, GBS256, generation TP4, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 8192, gpu_memory_utilization 0.70. Step1-16 emitted metrics; Step2-16 avg total 88.00s, generation 56.78s, E2E 7.70 tok/s/GPU, generation worker 107.01 tok/s/GPU. Failed after Step16 with the same 600s NCCL watchdog timeout pattern as 3210070, so the 20-step stability issue is not PARD-specific. A timeout=1800 patched baseline retry is queued as 3210580.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3210159-logs/ray-driver.log
public_pard_k3_noncolocated_tp4_fixed256_step20_timeout1800_retry,3210513,public_pard,3,failed_after_step16_subgroup_nccl_timeout,36,4,4,4,2,8,2,16,20,16,57.494,30.518,1.884,58.35,"Submitted after 3210070 failed at Step16 with 600s NCCL watchdog collective timeouts. The first timeout patch only affected the top-level torch.distributed.init_process_group path and driver log confirmed '[INFO] Initializing Megatron NCCL process group with timeout=1800s'. Step2-16 emitted metrics: total 60.236s, generation 30.518s, E2E 11.298 tok/s/GPU, generation worker 199.354 tok/s/GPU, acceptance avg 58.35%. Matched against baseline retry 3210580 Step2-16 this is about 1.47x total-step speedup and 1.88x generation-time speedup, but it failed after Step16 with Megatron Bridge/MCore subgroup watchdogs still showing Timeout(ms)=600000. A follow-up patch now also wires the timeout into Megatron subgroup initialization.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3210513-logs/ray-driver.log
baseline_noncolocated_tp4_fixed256_step20_timeout1800_retry,3210580,no_specdec,0,running_step20_after_step19_metric,36,4,4,0,2,8,2,16,20,19,,57.516,,,"Submitted after baseline retry 3210159 also failed after Step16 with 600s NCCL watchdog collective timeouts. This run uses RUN_TAG=noncolocated_tp4_fixed256_step20_baseline_timeout1800_20260608 and the patched top-level nemo_rl/models/megatron/setup.py path that wires NRL_MEGATRON_NCCL_TIMEOUT_SECONDS=1800 into torch.distributed.init_process_group. Driver log confirms timeout=1800s. It started before the newer Megatron subgroup timeout patch. Current Step2-19 window: total 88.248s, generation 57.516s, E2E 7.612 tok/s/GPU, generation worker 104.927 tok/s/GPU.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3210580-logs/ray-driver.log
public_pard_k9_noncolocated_tp4_fixed256_step5,3211503,public_pard,9,completed_metrics,36,4,4,4,2,8,2,16,5,5,57.7325,27.2975,2.115,28.60,"Submitted after OpenMath standalone K9 completed with batch-32 651.15 tok/s/GPU = 1.345x vs baseline and 29.98% acceptance. Shape is the validated Qwen3-235B non-colocated TP4 fixed256 Full-GRPO gate: 32 train nodes plus 4 generation-only nodes, GBS256, target TP4, draft TP4, max_new_tokens=256. Step2-5 avg total 61.42s, generation 27.30s, E2E 10.48 tok/s/GPU, generation worker 208.18 tok/s/GPU. Against baseline 3210580 Step2-5, this is 1.510x total-step speedup, 2.115x generation-time speedup, 1.525x E2E throughput speedup, and 2.116x generation-throughput speedup. Acceptance avg 28.60%, so high-batch static-K default should still prefer K5 pending the matched K5 gate.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3211503-logs/ray-driver.log
public_pard_k5_noncolocated_tp4_fixed256_step5,3211706,public_pard,5,completed_metrics,36,4,4,4,2,8,2,16,5,5,57.7325,28.2075,2.047,42.19,"Submitted after OpenMath high-batch batch64/128 favored K5 over K9 and K9 NeMo-RL gate showed low 28.60% acceptance. Same validated shape as K9: 32 train nodes plus 4 generation-only nodes, GBS256, target TP4, draft TP4, fixed decode 256, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 8192, gpu_memory_utilization 0.70. Step2-5 avg total 62.06s, generation 28.21s, E2E 10.28 tok/s/GPU, generation worker 201.38 tok/s/GPU. Against baseline 3210580 Step2-5, this is 1.494x total-step speedup, 2.047x generation-time speedup, 1.497x E2E throughput speedup, and 2.047x generation-throughput speedup. Acceptance avg 42.19%, better than K9 28.60% with only a small speed loss. Top-level Slurm job completed 5/5.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3211706-logs/ray-driver.log
public_pard_k5_noncolocated_tp4_fixed256_step20_subgrouptimeout,3211900,public_pard,5,completed_metrics_functional_gbs256,36,4,4,4,2,8,2,16,20,20,57.516,27.929,2.059,44.99,"Submitted after matched K5 5-step gate 3211706 completed with 1.494x total-step, 2.047x generation-time, and 42.19% acceptance. Same non-colocated TP4 fixed256 shape: 32 train nodes plus 4 generation-only nodes, GBS256, target TP4, draft TP4, max_new_tokens=256, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 8192, gpu_memory_utilization 0.70. Uses the Megatron subgroup NCCL timeout patch and NRL_MEGATRON_NCCL_TIMEOUT_SECONDS=1800. Job completed 20/20 without OOM or NCCL timeout. Step2-20 avg total 58.37s, generation 27.93s, E2E 11.50 tok/s/GPU, generation worker 215.79 tok/s/GPU, acceptance avg 44.99%. Treat this as a functional/stability pass because GBS256 is smaller than the requested Qwen3-235B performance gate; the matched GBS512 performance pair is 3212012 vs 3212068.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3211900-logs/ray-driver.log
baseline_noncolocated_tp4_fixed256_gbs512_step5,3212012,no_specdec,0,completed_metrics,36,4,4,0,2,8,2,16,5,5,,115.573,,,"Submitted at user request because GBS256 is only a functional/stability check for Qwen3-235B. Same non-colocated TP4 fixed256 shape as the validated GBS256 gate, but NUM_PROMPTS=16, NUM_GENERATIONS=32, TRAIN_GLOBAL_BATCH_SIZE=512, max_new_tokens=256, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 8192, gpu_memory_utilization 0.70. Matched baseline for the GBS512 PARD K5 retry2 job 3212209. Completed 5/5. Step2-5 avg total 153.78s, generation 115.57s, E2E 8.35 tok/s/GPU, generation worker 99.63 tok/s/GPU.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3212012-logs/ray-driver.log
public_pard_k5_noncolocated_tp4_fixed256_gbs512_step5,3212013,public_pard,5,failed_before_step_checkpoint_race,36,4,4,4,2,8,2,16,5,0,,,,,"Submitted at user request because GBS256 is only a functional/stability check for Qwen3-235B. Same non-colocated TP4 fixed256 shape as the validated GBS256 gate, but NUM_PROMPTS=16, NUM_GENERATIONS=32, TRAIN_GLOBAL_BATCH_SIZE=512, target TP4, draft TP4, max_new_tokens=256, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 8192, gpu_memory_utilization 0.70. This first K5 attempt failed before Step1 with FileNotFoundError for iter_0000000/run_config.yaml in the new NRL_MEGATRON_CHECKPOINT_DIR. This is a checkpoint conversion race/path-readiness failure, not an OOM or performance result. Retry submitted as 3212068 after run_config.yaml existed.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3212013-logs/ray-driver.log
public_pard_k5_noncolocated_tp4_fixed256_gbs512_step5_retry,3212068,public_pard,5,failed_before_driver_ray_head_startup,36,4,4,4,2,8,2,16,5,0,,,,,"Retry of the GBS512 K5 gate using the same RUN_TAG/checkpoint directory as 3212013 after iter_0000000/run_config.yaml existed. Shape remains NUM_PROMPTS=16, NUM_GENERATIONS=32, TRAIN_GLOBAL_BATCH_SIZE=512, non-colocated generation TP4, draft TP4, max_new_tokens=256, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 8192, gpu_memory_utilization 0.70. Failed before ray-driver.log was created because Ray head/GCS startup died on the allocated head node after three restarts; no Step metrics and no OOM/performance signal. Retry2 submitted as 3212209 with the previous head-node slice excluded.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3212068-logs
public_pard_k5_noncolocated_tp4_fixed256_gbs512_step5_retry2_exclude_headnode,3212209,public_pard,5,completed_metrics,36,4,4,4,2,8,2,16,5,5,115.573,50.578,2.285,43.08,"Retry2 of the GBS512 K5 gate, same experiment shape and same converted checkpoint directory as 3212013/3212068. Submitted with SBATCH exclude for nvl72001-T03,nvl72001-T04,nvl72001-T05,nvl72001-T08 after 3212068 failed in Ray head/GCS startup on that allocation. Completed 5/5 with no fatal/OOM pattern. Step2-5 avg vs matched GBS512 baseline 3212012: total 84.96s vs 153.78s = 1.810x, generation 50.58s vs 115.57s = 2.285x, E2E 15.14 vs 8.35 tok/s/GPU = 1.815x, generation worker 227.81 vs 99.63 tok/s/GPU = 2.287x. Acceptance avg 43.08%. This is the valid GBS512 Qwen3-235B K5 performance result; earlier 3212013/3212068 failures were startup/checkpoint issues, not OOM/performance results.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3212209-logs/ray-driver.log
runtime_gate_k5_gbs512_gate16_activation_smoke,3212586,public_pard_runtime_gate,5,cancelled_after_activation_smoke_not_perf,36,4,4,4,2,8,2,16,5,0,115.573,,,,"Submitted after remote runtime gate patch deployment to prove the patch was not a no-op. Shape matched GBS512 K5: NUM_PROMPTS=16, NUM_GENERATIONS=32, TRAIN_GLOBAL_BATCH_SIZE=512, target TP4, draft TP4, fixed decode 256. GATE_BATCH_SIZE=16 and GATE_LOG_INTERVAL=1 produced direct evidence in ray-driver.log that vLLM gpu_model_runner read request_threshold=16 and disabled speculation at requests=32. Job was intentionally cancelled before performance metrics because log interval 1 creates heavy logging overhead and invalidates timing.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3212586-logs/ray-driver.log
runtime_gate_k5_gbs512_gate16_perf,3212643,public_pard_runtime_gate,5,failed_before_driver_ray_worker_startup_requeued,36,4,4,4,2,8,2,16,5,0,115.573,,,,"Performance-valid gated K5 retry after activation smoke 3212586. Same GBS512 TP4 shape and checkpoint root as 3212209, with VLLM_ENABLE_RUNTIME_SPECDEC_BATCH_GATE_PATCH=true, VLLM_SPECDEC_BATCH_SIZE_GATE_THRESHOLD=16, VLLM_SPECDEC_BATCH_TOKEN_GATE_THRESHOLD=0, and VLLM_SPECDEC_BATCH_GATE_LOG_INTERVAL=0. Failed before ray-driver metrics because Ray workers failed to start and the job was requeued/cancelled; no OOM or performance signal. Retry2 submitted as 3212702 with the failed allocation nodes excluded and --no-requeue.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3212643-logs
runtime_gate_k5_gbs512_gate16_perf_retry2_exclude_startup_nodes,3212702,public_pard_runtime_gate,5,completed_metrics_baseline_like,36,4,4,4,2,8,2,16,5,5,115.573,115.993,0.996,,"Performance-valid gated K5 retry2. Uses the patched wrapper override path with SUBMIT_BASELINE=false, SUBMIT_K_VALUES=5, NUM_PROMPTS=16, NUM_GENERATIONS=32, TRAIN_GLOBAL_BATCH_SIZE=512, K_GATE_MODE=gated, K_GATE_BATCH_SIZE=16, K_GATE_TOKEN_THRESHOLD=0, K_GATE_LOG_INTERVAL=0. Excludes nvl72001-T03/T04/T05/T08 plus the 3212643 failed startup allocation nodes. Step2-5 avg total 151.19s, generation 115.99s, E2E 8.49 tok/s/GPU, generation worker 99.29 tok/s/GPU. Against matched GBS512 baseline 3212012, this is only 1.017x total-step, 0.996x generation-time, 1.017x E2E, and 0.997x generation-throughput. No acceptance buckets emitted, consistent with gate16 disabling speculation during dense requests. Static K5 3212209 remains the real performance result: it is 1.779x faster in total step and 2.293x faster in generation time than this gate16 run. Conclusion: static on/off request gating is not useful for max_num_seqs=32; move to true dynamic-K/controller rather than gate16.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3212702-logs/ray-driver.log
public_pard_k3_noncolocated_tp4_fixed256_gbs512_step5,3212919,public_pard,3,completed_metrics,36,4,4,4,2,8,2,16,5,5,115.573,59.7625,1.934,56.64,"Submitted after the high-batch OpenMath sweep showed K3 as the best static point: batch64 1.308x and batch128 1.244x vs baseline, ahead of K5/K7/K8/K9. Shape matches the valid Qwen3-235B GBS512 gate: NUM_PROMPTS=16, NUM_GENERATIONS=32, TRAIN_GLOBAL_BATCH_SIZE=512, non-colocated generation TP4, draft TP4, fixed decode 256, max_model_len 8192, max_num_seqs 32, max_num_batched_tokens 8192, gpu_memory_utilization 0.70. Job completed 5/5 with no OOM; shutdown emitted recvBytes/TCPStore noise after all metrics. Step2-5 avg total 96.28s, generation 59.76s, E2E 13.34 tok/s/GPU, generation worker 192.73 tok/s/GPU, visible acceptance avg 56.64%. Against baseline 3212012 this is 1.597x total-step and 1.934x generation-time. Against static K5 3212209 it is slower: K5 is about 1.133x faster in total step and 1.182x faster in generation time. K5 remains the NeMo-RL GBS512 static baseline.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3212919-logs/ray-driver.log
dynamic_k5cap3_medium16_gbs512_smoke_step1,3213497,public_pard_dynamic_k,5,completed_smoke_runtime_valid,36,4,4,4,2,8,2,16,1,1,115.573,65.780,1.757,"46.5-66.9","One-step GBS512 dynamic-K smoke after actor venv rebuild override. Marker check inside ray-head passed with static_gate=present and dynamic_gate=required_present. Runtime logs proved true drafter cap behavior: selected=3 tier=large at requests=32/tokens=256 while batch gate stayed enabled at request_threshold=128. Step1 timing: total 309.83s, generation 65.78s, E2E 4.10 tok/s/GPU, generation worker 173.62 tok/s/GPU. Treat as smoke/runtime proof only, not matched Step2-5 performance.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3213497-logs/ray-driver.log
dynamic_k5cap3_medium16_gbs512_step5,3213606,public_pard_dynamic_k,5,completed_metrics,36,4,4,4,2,8,2,16,5,5,115.573,60.6025,1.907,56.83,"Submitted after 3213497 proved actor venv markers and runtime selected-K counters. Same GBS512 non-colocated TP4 fixed256 shape as 3212012/3212209/3212919. Uses K_GATE_BATCH_SIZE=128 and dynamic thresholds small=16, medium=16, large_tokens=3, so dense max_num_seqs=32 decode selects K3. Completed 5/5 with no OOM. Step2-5 avg total 98.24s, generation 60.60s, policy_training 14.39s, E2E 13.15 tok/s/GPU, generation worker 190.09 tok/s/GPU. Against matched GBS512 baseline 3212012: total 1.565x, generation 1.907x, E2E 1.575x, generation worker 1.908x. Dynamic logs showed selected=3 tier=large for dense requests=32 and selected=5 only on small tail batches; weighted logged acceptance avg 56.83%. This is positive vs baseline but slower than static K5 3212209 and basically static-K3-like: K5 is 1.156x faster in total time and 1.198x faster in generation time, while static K3 is only about 1.020x faster total and 1.014x faster generation. K5 remains the validated GBS512 NeMo-RL default.",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/experiments/eagle3_online/3213606-logs/ray-driver.log
