label,domain,temperature,top_p,top_k,tag,model,method,k,prompt_jsonl,prompt_offset,prompt_count_loaded,prompt_count_used,num_batches,batch_size,isl,osl,tp,pp,total_gpus,spec_active,spec_method,parallel_drafting,num_speculative_tokens,draft_model,latency_s,mean_latency_s,output_tok_s,output_tok_s_per_gpu,speedup_vs_baseline,metrics_available,acceptance_rate_pct,mean_acceptance_length,accepted_tokens_per_draft,num_drafts,num_draft_tokens,num_accepted_tokens,acceptance_rate_by_position_pct,breakdown_json,source
oci_qwen8_math_t10_pard3,math,1.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k3,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1819.771374079981,909.8856870399904,72.02663030473587,72.02663030473587,0.8601265608870192,True,46.32171963025762,2.3896515889077286,1.3896515889077286,54849,164547,76221,"67.2045,42.3453,29.4153",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json,breakdown_json
oci_qwen8_math_t10_pard5,math,1.0,1.0,-1,qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k5,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/math_500_data_prompts_20260613.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1621.894168535946,810.947084267973,80.81415085074033,80.81415085074033,0.9650652452872232,True,39.44712792253441,2.9723563961267203,1.9723563961267205,44097,220485,86975,"73.4041,54.1715,33.5125,22.2373,13.9102",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_math_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json,breakdown_json
oci_qwen8_swe_t00_baseline,swe,0.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_baseline,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,3101.5179123859853,775.3794780964963,42.26059745667141,42.26059745667141,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json,breakdown_json
oci_qwen8_swe_t00_pard3,swe,0.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k3,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,2427.1081882790895,606.7770470697724,54.00336113279522,54.00336113279522,1.2778655386536675,True,78.41036002625813,3.352310800787744,2.352310800787744,39099,117297,91973,"89.3910,78.7207,67.1194",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json,breakdown_json
oci_qwen8_swe_t00_pard5,swe,0.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k5,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,2095.9794228939572,523.9948557234893,62.5349650709006,62.5349650709006,1.4797463555742656,True,60.55683599151839,4.02784179957592,3.0278417995759197,32541,162705,98529,"88.1380,74.6197,59.4174,45.4350,35.1741",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json,breakdown_json
oci_qwen8_swe_t00_baseline,swe,0.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_baseline,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1768.0363887649728,884.0181943824864,74.13422078465126,74.13422078465126,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json,breakdown_json
oci_qwen8_swe_t00_pard3,swe,0.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k3,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1594.9353838699753,797.4676919349877,82.18013176305921,82.18013176305921,1.1085316725966554,True,66.70559142739387,3.001167742821816,2.001167742821816,43674,131022,87399,"83.1341,66.9254,50.0572",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json,breakdown_json
oci_qwen8_swe_t00_pard5,swe,0.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k5,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1854.690692701959,927.3453463509795,70.67054388947791,70.67054388947791,0.9532782990296099,True,40.51573285315234,3.025786642657617,2.025786642657617,43317,216585,87751,"73.2230,52.0558,36.0390,24.7132,16.5478",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t00_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json,breakdown_json
oci_qwen8_swe_t10_baseline,swe,1.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_baseline,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,3191.1761355589842,797.7940338897461,41.07325776834336,41.07325776834336,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json,breakdown_json
oci_qwen8_swe_t10_pard3,swe,1.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k3,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,2970.4875005071517,742.6218751267879,44.124743826601545,44.124743826601545,1.0742937430351598,True,60.320250369766995,2.80960751109301,1.8096075110930099,46651,139953,84420,"83.2544,60.3417,37.3647",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json,breakdown_json
oci_qwen8_swe_t10_pard5,swe,1.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k5,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,4,1,4096,32768,1,1,1,False,,,,,2336.5096246270696,584.1274061567674,56.097350774200386,56.097350774200386,1.3657877125450866,True,52.448940109996414,3.6224470054998203,2.6224470054998203,36183,180915,94888,"86.5047,66.4207,51.4938,32.1145,25.7110",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json,breakdown_json
oci_qwen8_swe_t10_baseline,swe,1.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_baseline,Qwen/Qwen3-8B,baseline,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1643.384660120937,821.6923300604685,79.75734663992445,79.75734663992445,1.0,False,,,,,,,,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/baseline/breakdown.json,breakdown_json
oci_qwen8_swe_t10_pard3,swe,1.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k3,Qwen/Qwen3-8B,pard,3,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1899.6682021110319,949.8341010555159,68.99731219080493,68.99731219080493,0.8650903659358532,True,54.565939040337994,2.63697817121014,1.6369781712101399,49705,149115,81366,"75.0287,53.7713,34.8979",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k3/breakdown.json,breakdown_json
oci_qwen8_swe_t10_pard5,swe,1.0,1.0,-1,qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof_pard_k5,Qwen/Qwen3-8B,pard,5,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/data/swebench_verified_prompts_all.jsonl,0,4,4,2,2,4096,32768,1,1,1,False,,,,,1646.6833959849318,823.3416979924659,79.59757189487043,79.59757189487043,0.9979967394630698,True,47.89308746212219,3.3946543731061096,2.3946543731061096,38611,193055,92460,"80.2647,61.7959,44.8784,30.0873,22.4392",/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/oci_qwen8_pard1_temp01_20260616_r4_noprof/qwen8_swe_osl32k_oci_temp01_t10_baseline_pard1_k3_k5_offset0_n4_isl4096_osl32768_bs1_2_20260616_r4_noprof/pard_k5/breakdown.json,breakdown_json
