source_file,file_rows,candidate_rows,domain,model,method_or_methods,batch_sizes,isl,osl,temp,cluster_or_origin,represented_in_clean_status,recommended_action,notes
docs/oci_qwen235b_math500_osl32k_metrics_20260613.csv,6,6,Math,Qwen3-235B-A22B,baseline;eagle3_k3;pard_k5;pard2_k1,1/2,4096,32768,0.0 inferred,OCI,no,include in clean report,"Important OCI counterpart to Lyris Qwen235B Math. Contains a matched baseline row where Lyris fast/temp1 baselines timed out."
docs/oci_qwen235b_math500_drafter_k9_metrics_20260613.csv,5,5,Math,Qwen3-235B-A22B,eagle3_k9;pard_k9;pard2_k9,1/2,4096,32768,0.0 inferred,OCI,no,include in clean report,"Additional OCI Qwen235B Math high-k drafter sweep. Include as supplemental, not primary core."
docs/oci_qwen235b_math500_drafter_k11_metrics_20260613.csv,5,5,Math,Qwen3-235B-A22B,eagle3_k11;pard_k11;pard2_k11,1/2,4096,32768,0.0 inferred,OCI,no,include in clean report,"Additional OCI Qwen235B Math high-k drafter sweep. Include as supplemental, not primary core."
docs/oci_qwen235b_math500_suffix_py312_retry1_metrics_20260613.csv,2,2,Math,Qwen3-235B-A22B,suffix_k32,1/2,4096,32768,0.0 inferred,OCI,no,include in clean report,"OCI suffix retry completes the Qwen235B Math baseline/eagle/pard/suffix comparison when paired with oci_qwen235b_math500_osl32k_metrics_20260613.csv."
docs/oci_swebench_osl16k_smoke_metrics_20260612.csv,8,8,SWE,Qwen3-8B,baseline;eagle3_k3;pard2_k5;suffix_k32,1/2,4096,16384,0.0 inferred,OCI,no,archive as superseded,"Valid standalone smoke but OSL16k and not part of the clean OSL32768 status scope."
docs/lyris_qwen235b_suffix_metrics_20260612.csv,46,46,SWE,Qwen3-235B-A22B,baseline;eagle3_k1/k3;pard_k3/k5;pard2_k1/k2/k3/k5;suffix_k1/k2/k4/k8/k32,1/2,4096,256/1024/32768/65536,0.0 inferred,Lyris,no,archive as superseded,"Older Qwen235B mixed-OSL exploratory sweep. OSL32768 rows are mostly superseded by later batch-sweep/core rows; shorter/longer OSL rows are out of clean scope."
docs/eagle3_focus_vllm_standalone_metrics.csv,31,31,Synthetic/Math,Qwen3-8B;Qwen3-30B-A3B;Qwen3-32B,eagle3_k1/eagle3_k3;baseline-like,1/2/4/8/16/32,1000,512/1000,not parseable,local/unknown,no,archive as superseded,"Standalone vLLM data, but synthetic/DAPO-style prompt shape and not Math500/SWE OSL32768 clean scope."
docs/qwen32_qwen30ba3b_vllm_standalone_eagle3_metrics_20260606.csv,48,48,Synthetic,Qwen3-30B-A3B;Qwen3-32B,baseline;eagle3_k1/eagle3_k2/eagle3_k3,1/2/4/8/16/32,1000,512,not parseable,local/unknown,no,archive as superseded,"Older Qwen32/Qwen30 synthetic Eagle3 standalone sweep. Not a Math/SWE OSL32768 result."
docs/qwen3_30ba3b_235b_vllm_highbatch_k123_metrics.csv,24,24,Synthetic,Qwen3-30B-A3B;Qwen3-235B-A22B,baseline;k1/k2/k3,64/128/256,not in csv,not in csv,not parseable,local/unknown,no,archive as superseded,"High-batch vLLM sweep appears to use ISL1000/OSL512 paths in output_json. Useful historical evidence, but outside clean status scope."
docs/qwen3_235b_vllm_pard_metrics.csv,72,72,Math/Synthetic,Qwen3-235B-A22B,baseline;pard_k5/pard_k7/pard_k9/pard_k12,1/2/4/8/16/32/64/128,scenario-dependent,scenario-dependent,not parseable,local/unknown,no,archive as superseded,"OpenMath/long/synthetic PARD sweep, not Math500/SWE OSL32768 clean status scope."
docs/qwen3_235b_vllm_decodeheavy10k_metrics.csv,6,6,Synthetic,Qwen3-235B-A22B,baseline;k1,1/2/4/8/16/32,not in csv,not in csv,not parseable,local/unknown,no,archive as superseded,"Decode-heavy synthetic metric file. Keep out of clean Math/SWE OSL32768 report."
docs/qwen3_30ba3b_pard2cat_1024_vllm_metrics_20260605.csv,24,24,Synthetic/Math-like,Qwen3-30B-A3B,public_pard_k5;local_cat_early256_k5;local_cat_early512_k5;local_cat_1024_k5,1/2/4/8/16/32,1024,1024,not parseable,local/unknown,no,archive as superseded,"Older OSL1024 PARD-cat standalone sweep. Not clean status scope."
docs/qwen3_32b_swebench_verified_suffix_pilot_20260611.summary.csv,4,4,SWE,Qwen3-32B,baseline;suffix_k32,8/16,4096,1024,not parseable,local/unknown,no,archive as superseded,"Older Qwen32 SWE verified suffix pilot at OSL1024. Superseded for OSL32768 by latest core matrix."
docs/swebench_specdec_standalone_comparison_20260611.csv,37,37,SWE,Qwen3-30B-A3B;Qwen3-32B,baseline;pard2_k5;suffix_k32;pld_k5,1/2/8/16,4096,128/1024/16384,not parseable,local/unknown,no,archive as superseded,"Valid standalone comparison, but OSL128/1024/16k rather than OSL32768."
docs/public_pard2_vllm_standalone_20260611.csv,16,16,SWE,Qwen3-8B;Qwen3-14B,baseline;pard2_k5,1/2/4/8/16,4096,1024/16384,not parseable,local/unknown,no,archive as superseded,"Older public PARD2 standalone rows for Qwen8/Qwen14. Not OSL32768 clean status scope."
docs/qwen30ba3b_swebench_fulltest_slice_standalone_pard_k5_20260611.csv,4,4,SWE,Qwen3-30B-A3B,baseline;pard_k5,8/16,4096,1024,not parseable,local/unknown,no,archive as superseded,"Older Qwen30 fulltest slice at OSL1024. Later OSL32768 rows supersede it for clean status."
docs/qwen30ba3b_swebench_lite_standalone_pard_k5_20260611.csv,4,4,SWE,Qwen3-30B-A3B,baseline;pard_k5,8/16,not fully parseable,not fully parseable,not parseable,local/unknown,no,archive as superseded,"Older lite standalone PARD K5 file with less complete schema. Not clean OSL32768 scope."
docs/vllm_standalone_temp0_temp1_trends_20260616.csv,20,20,Math/SWE,Qwen3-8B;Qwen3-30B-A3B;Qwen3-235B-A22B,eagle3;pard/pard2;suffix,1/2/2-32,4096,32768,0.0/1.0,derived local aggregate,"no in clean status; yes in clean_results sources",archive as superseded,"Derived trend rollup, not independent raw evidence. Its important underlying rows are separately audited above."
