job_id,temperature,model_group,batch_size,method,model,draft_model,specdec_method,num_speculative_tokens,prompt_count,isl,osl,max_model_len,max_num_batched_tokens,logs_dir,job_file
3423819,1.0,qwen235b,1,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t10_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_baseline_t10_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
3423821,1.0,qwen235b,2,baseline,Qwen/Qwen3-235B-A22B,,draft_model,0,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen235b_math500_osl32k_baseline_t10_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen235b_baseline_t10_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
3423823,1.0,qwen32,1,baseline,Qwen/Qwen3-32B,,draft_model,0,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t10_offset0_n1_isl4096_osl32768_bs1_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_baseline_t10_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
3423825,1.0,qwen32,1,suffix,Qwen/Qwen3-32B,,suffix,32,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t10_offset0_n1_isl4096_osl32768_bs1_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_suffix_t10_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
3423828,1.0,qwen32,1,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t10_offset0_n1_isl4096_osl32768_bs1_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t10_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
3423830,1.0,qwen32,1,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,1,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t10_offset0_n1_isl4096_osl32768_bs1_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t10_offset0_n1_bs1_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
3423833,1.0,qwen32,2,baseline,Qwen/Qwen3-32B,,draft_model,0,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_baseline_t10_offset0_n2_isl4096_osl32768_bs2_k0_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_baseline_t10_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
3423835,1.0,qwen32,2,suffix,Qwen/Qwen3-32B,,suffix,32,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_suffix_t10_offset0_n2_isl4096_osl32768_bs2_k32_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_suffix_t10_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
3423836,1.0,qwen32,2,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,draft_model,5,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_pard_t10_offset0_n2_isl4096_osl32768_bs2_k5_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_pard_t10_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
3423837,1.0,qwen32,2,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,eagle3,3,2,4096,32768,40960,131072,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/SpecDec-RL-main-vllm020-20260606/vllm-runs/qmath_qwen235b_baseline_qwen32_bs12_20260619/qwen32_math500_osl32k_eagle3_t10_offset0_n2_isl4096_osl32768_bs2_k3_20260619_qmath_qwen235b_baseline_qwen32_bs12,/Users/sna/Nemo-RL_Qwen3_Roadmap/tmp/oci_qmath_qwen32_eagle3_t10_offset0_n2_bs2_20260619_qmath_qwen235b_baseline_qwen32_bs12.job.txt
