source_file,row_count,row_count_basis,domain,model,method,job_ids,clean_overlap_job_ids,unrepresented_job_ids,represented,clean_source_match,recommended_action,rationale,artifact_date,audit_scope,headers_or_basis
docs/nemorl_long_osl_16k_32k_status_20260616.md,37,md_table_rows,Math-RL,Qwen3-235B-A22B;Qwen3-32B;Qwen3-30B-A3B;Qwen3-1.7B/17B,pard;suffix;baseline;specdec,12550182;12550221;12561705;12561707;12561710;12561712;12612995;2123407;2123638;2123875;2124030;2124031;2124032;2124206;2124207;2124208;3207578;3207579;3207762;3207763;3207808;3207809;3228527;3228530;3231517;3231518;3231620;3231621;3231622;3231623;3231641;3231642;3231951;3231952;3231953;3231954;3231955;3231956,,12550182;12550221;12561705;12561707;12561710;12561712;12612995;2123407;2123638;2123875;2124030;2124031;2124032;2124206;2124207;2124208;3207578;3207579;3207762;3207763;3207808;3207809;3228527;3228530;3231517;3231518;3231620;3231621;3231622;3231623;3231641;3231642;3231951;3231952;3231953;3231954;3231955;3231956,no,no,add to clean integrated report,authoritative long-OSL NeMo-RL status summary is not represented in clean report,20260616,representative_sample_20260615_20260617_plus_key_superseded,
docs/lyris_nemorl_integrated_specdec_maxsteps10_metrics_20260613.csv,18,csv_rows,NeMo-RL,Qwen3-235B-A22B;Qwen3-32B;Qwen3-30B-A3B;qwen235b;Qwen/Qwen3-235B-A22B;nvidia/Qwen3-235B-A22B-Eagle3;amd/PARD-Qwen3-0.6B;qwen30ba3b,pard;eagle3;suffix;baseline;specdec,2109933;2109934;2109935;2109936;2109937;2109938;2109939;2109940;2109942;2109990;2109991;2109992;2109993;2109994;2109995;2110001;2110002;2110003,,2109933;2109934;2109935;2109936;2109937;2109938;2109939;2109940;2109942;2109990;2109991;2109992;2109993;2109994;2109995;2110001;2110002;2110003,no,no,archive/superseded,"representative integrated launch/status artifact, but metrics rows are missing_log and not suitable for clean result inclusion",20260613,representative_sample_20260615_20260617_plus_key_superseded,run_id;model;method;job_id;target_model;draft_model;num_speculative_tokens;max_steps;max_new_tokens;min_tokens;num_nodes;gpus_per_node;train_global_batch_size;queue_state;acct_state;exit_code;elapsed;reason;metric_status;speedup_basis;steps;completed_steps;last_step;generation_worker_tokens_per_sec_per_gpu
docs/lyris_nemorl_integrated_specdec_maxsteps10_status_20260613.csv,18,csv_rows,NeMo-RL,Qwen3-235B-A22B;Qwen3-32B;Qwen3-30B-A3B;qwen235b;Qwen/Qwen3-235B-A22B;nvidia/Qwen3-235B-A22B-Eagle3;amd/PARD-Qwen3-0.6B;qwen30ba3b,pard;eagle3;suffix;specdec,2109933;2109934;2109935;2109936;2109937;2109938;2109939;2109940;2109942;2109990;2109991;2109992;2109993;2109994;2109995;2110001;2110002;2110003,,2109933;2109934;2109935;2109936;2109937;2109938;2109939;2109940;2109942;2109990;2109991;2109992;2109993;2109994;2109995;2110001;2110002;2110003,no,no,archive/superseded,"representative integrated launch/status artifact, but metrics rows are missing_log and not suitable for clean result inclusion",20260613,representative_sample_20260615_20260617_plus_key_superseded,job_id;model;method;target_model;draft_model;num_speculative_tokens;max_steps;max_new_tokens;min_tokens;num_nodes;gpus_per_node;train_global_batch_size;run_id;queue_state;acct_state;exit_code;elapsed;node;runtime;reason;base_log_dir;tracker_file
docs/nemorl_235b_active_gates_history_20260616.csv,7,csv_rows,Math-RL,Qwen3-235B-A22B,pard2;pard;baseline;specdec,2129203;2129271;2129272;3308774;3315380;3315381;3315382,,2129203;2129271;2129272;3308774;3315380;3315381;3315382,no,no,archive/superseded,"gate/failed-step evidence without completed clean timing; keep as diagnostics, not clean result rows",20260616,representative_sample_20260615_20260617_plus_key_superseded,local_time;cluster;host;remote_time;job_id;name;state;reason;start_time;elapsed;nodes;account;priority;log_file_count;non_marker_log_file_count;latest_log_file;runtime_log_present
docs/nemorl_235b_failed_step1_metrics_20260615.csv,3,csv_rows,NeMo-RL,Qwen3-235B-A22B,specdec,3315380;3315381;3315382,,3315380;3315381;3315382,no,no,archive/superseded,"gate/failed-step evidence without completed clean timing; keep as diagnostics, not clean result rows",20260615,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step;max_steps;status;loss;draft_training_enabled;draft_refit_this_step;draft_loss;generation_kl_error;avg_reward;total_step_time_s;generation_time_s;policy_training_time_s;policy_and_reference_logprobs_time_s;prepare_for_generation_total_s;e2e_tokens_per_sec_per_gpu;generation_worker_tokens_per_sec_per_gpu;policy_training_tokens_per_sec_per_gpu;policy_logprobs_tokens_per_sec_per_gpu;mean_generation_length;vllm_acceptance_rate_pct_mean_visible;vllm_acceptance_rate_pct_mean_weighted;vllm_acceptance_rate_pct_latest_visible
docs/qwen235b_online_pard2_localmodel_r3_status_20260616.md,3,md_table_rows,Math-RL,Qwen3-235B-A22B,online_pard2;online_pard;pard2;pard;baseline,3332282;3332283,,3332282;3332283,no,no,archive/superseded,superseded by later r4/r11 or current clean-report rows; do not add except as diagnostic context,20260616,representative_sample_20260615_20260617_plus_key_superseded,
docs/oci_hsg_mathrl_qwen32_online_pard2_step5_r10_status_live_20260616.csv,1,csv_rows,Math-RL,Qwen3-32B,online_pard2;online_pard;pard2;pard,3344974,,3344974,no,no,archive/superseded,superseded by later r4/r11 or current clean-report rows; do not add except as diagnostic context,20260616,representative_sample_20260615_20260617_plus_key_superseded,job_id;job_name;queue_state;acct_state;exit_code;queue_elapsed;acct_elapsed;reason;node;status_note;last_poll_pdt
docs/oci_hsg_mathrl_qwen32_online_pard2_hardce_r9_summary_20260616.csv,1,csv_rows,Math-RL,Qwen3-32B,online_pard2;online_pard;pard2;pard;mathrl_qwen32_online_pard2_hardce_r9,,,,no,no,archive/superseded,superseded by later r4/r11 or current clean-report rows; do not add except as diagnostic context,20260616,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step_filter;steps;completed_steps;incomplete_steps;first_step;last_step;draft_training_enabled_steps;draft_refit_steps;error_count_sum;vllm_accepted_tokens_sum_weighted;vllm_drafted_tokens_sum_weighted;vllm_token_acceptance_pct;log_path;total_step_time_s_mean;generation_time_s_mean;policy_training_time_s_mean;policy_and_reference_logprobs_time_s_mean;prepare_for_generation_total_s_mean;e2e_tokens_per_sec_per_gpu_mean;generation_worker_tokens_per_sec_per_gpu_mean;policy_training_tokens_per_sec_per_gpu_mean;policy_logprobs_tokens_per_sec_per_gpu_mean
docs/oci_hsg_mathrl_qwen32_online_pard2_force_r4_summary_20260616.csv,1,csv_rows,Math-RL,Qwen3-32B,online_pard2;online_pard;pard2;pard;qwen32_online_pard2_force_r4,3340709,,3340709,no,no,archive/superseded,superseded by later r4/r11 or current clean-report rows; do not add except as diagnostic context,20260616,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step_filter;steps;completed_steps;incomplete_steps;first_step;last_step;draft_training_enabled_steps;draft_refit_steps;error_count_sum;vllm_accepted_tokens_sum_weighted;vllm_drafted_tokens_sum_weighted;vllm_token_acceptance_pct;log_path;total_step_time_s_mean;generation_time_s_mean;policy_training_time_s_mean;policy_and_reference_logprobs_time_s_mean;prepare_for_generation_total_s_mean;e2e_tokens_per_sec_per_gpu_mean;generation_worker_tokens_per_sec_per_gpu_mean;policy_training_tokens_per_sec_per_gpu_mean;policy_logprobs_tokens_per_sec_per_gpu_mean
docs/oci_hsg_swerl_fullgrpo_n3post_wandb_r1_completed_summary_stepge2_20260615.csv,3,csv_rows,SWE-RL,Qwen3-235B-A22B,pard;eagle3;baseline;specdec;pard_k5;eagle3_k3,3299487;3299489;3299491,3299487;3299489;3299491,,yes,yes,ignore,represented in clean integrated report; retained here as a control check,20260615,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step_filter;steps;completed_steps;incomplete_steps;first_step;last_step;draft_training_enabled_steps;draft_refit_steps;error_count_sum;vllm_accepted_tokens_sum_weighted;vllm_drafted_tokens_sum_weighted;vllm_token_acceptance_pct;log_path;total_step_time_s_mean;generation_time_s_mean;policy_training_time_s_mean;policy_and_reference_logprobs_time_s_mean;prepare_for_generation_total_s_mean;e2e_tokens_per_sec_per_gpu_mean;generation_worker_tokens_per_sec_per_gpu_mean;policy_training_tokens_per_sec_per_gpu_mean;policy_logprobs_tokens_per_sec_per_gpu_mean
docs/oci_hsg_swerl_qwen30ba3b_specdec_manifest_submit_status_20260616.csv,6,csv_rows,SWE-RL,Qwen3-30B-A3B,pard2;pard;eagle3;suffix;specdec;execute,3351394;3365630;3365631;3365632;3365633;3365634,3351394;3365630;3365631;3365632;3365633;3365634,,yes,yes,ignore,represented in clean integrated report; retained here as a control check,20260616,representative_sample_20260615_20260617_plus_key_superseded,checked_at_local;mode;selected;priority;action;launch_name;method;k;online_training;manifest_remote_host;remote_host;job_id;host_preflight_state;host_preflight_detail;manifest_validation;operation_state;remote_command;stdout_path;stderr_path;stdout_tail;stderr_tail;notes
docs/oci_hsg_swerl_qwen30ba3b_baseline_ctx40k_3344823_summary_20260616.csv,1,csv_rows,SWE-RL,Qwen3-30B-A3B,baseline;qwen30ba3b_swerl_baseline_ctx40k_step1,3344823,3344823,,yes,yes,ignore,represented in clean integrated report; retained here as a control check,20260616,representative_sample_20260615_20260617_plus_key_superseded,job_id;label;step_filter;steps;completed_steps;incomplete_steps;first_step;last_step;draft_training_enabled_steps;draft_refit_steps;error_count_sum;vllm_accepted_tokens_sum_weighted;vllm_drafted_tokens_sum_weighted;vllm_token_acceptance_pct;log_path;total_step_time_s_mean;generation_time_s_mean;policy_training_time_s_mean;policy_and_reference_logprobs_time_s_mean;prepare_for_generation_total_s_mean;e2e_tokens_per_sec_per_gpu_mean;generation_worker_tokens_per_sec_per_gpu_mean;policy_training_tokens_per_sec_per_gpu_mean;policy_logprobs_tokens_per_sec_per_gpu_mean
