cluster,phase,scope,job_id,state,reason,source_sha,container,script,log_link,wandb_link,source_image_digest,container_sha256,exit_code,capture_evidence,replay_evidence
ptyche,unit_test,shared-venv-race-green,2463458,COMPLETED,Atomic external lock and per-invocation completion ID serialized the rebuild,dc2269a0a280328275968cbfe4c3644f24ba6762,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly_20260727_2456107.sqsh,../../../../tests/unit/utils/test_venvs.py,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/venv-race-green/2463458.out,,,,0:0,Same regression test passed in the Ptyche nightly container,one shared rebuild; follower waited for matching completion ID
ptyche,performance,nocg-offline-snapshot,2463474,FAILED,W&B offline mode was not propagated and no API key was configured,dc2269a0a280328275968cbfe4c3644f24ba6762,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly_20260727_2456107.sqsh,../latestmain_nanov3/scopes/00_nocg_baked_uv_cache.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-nocg-performance-baked-uv-cache/2463474-logs/ray-driver.log,,,,1:0,"20-step preflight 2463473 accepted; driver and datasets initialized","W&B UsageError before worker venv creation; no performance or accuracy samples"
ptyche,performance,nocg-offline-snapshot,2463609,FAILED,Launcher used the Base model snapshot as tokenizer even though it has no chat template,2876ba44fd75b552620e6c2850163240d1603671,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly_20260727_2456107.sqsh,../latestmain_nanov3/scopes/00_nocg_baked_uv_cache.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-nocg-performance-baked-uv-cache/2463609-logs/ray-driver.log,,,,1:0,"vLLM and MCore 16/16 workers; model and reference model loaded; W&B offline; shared venv race absent","DataLoader apply_chat_template ValueError before GRPO step 0; no performance or accuracy samples"
ptyche,performance,nocg-offline-snapshot,2463752,PREEMPTED,Base model plus immutable Instruct tokenizer retry,41c1c1caa197679bb852854d9585da692a17bf9a,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly_20260727_2456107.sqsh,../latestmain_nanov3/scopes/00_nocg_baked_uv_cache.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-nocg-performance-baked-uv-cache/2463752-logs/ray-driver.log,,,,0:0,"Steps 1-12 completed; Step 13 was in progress; checkpointing disabled; no Python or CUDA fatal error","SLURM backfill preemption at 30m17s; batch shell received SIGTERM and exited 143"
ptyche,performance,nocg-offline-snapshot,2464026,PREEMPTED,Second working baseline interrupted by scheduler,f7a81eac3e6581986376999c8c99caf9c5b319a9,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly_20260727_2456107.sqsh,../latestmain_nanov3/scopes/00_nocg_baked_uv_cache.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-nocg-performance-baked-uv-cache/2464026-logs/ray-driver.log,,,,0:0,"Steps 1-12 completed and Step 13 started; no fatal Python or CUDA error","SLURM backfill preemption after 30m15s"
ptyche,performance,attn,2464091,FAILED,Persistent UV overlay broke Ray head imports,e20eab79a0f8b7deaf6a9504f418405ded56d630,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/01_attn.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-attn-performance/2464091-logs/ray-head.log,,,,1:0,"Failed before GRPO Step 0","ModuleNotFoundError: urllib3.exceptions"
ptyche,performance,mlp,2464092,FAILED,Persistent UV overlay broke Ray head imports,e20eab79a0f8b7deaf6a9504f418405ded56d630,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/16_mlp.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-mlp-performance/2464092-logs/ray-head.log,,,,1:0,"Failed before GRPO Step 0","ModuleNotFoundError: urllib3.exceptions"
ptyche,performance,mamba,2464093,FAILED,Persistent UV overlay broke Ray head imports,e20eab79a0f8b7deaf6a9504f418405ded56d630,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/02_mamba.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-mamba-performance/2464093-logs/ray-head.log,,,,1:0,"Failed before GRPO Step 0","ModuleNotFoundError: urllib3.exceptions"
ptyche,performance,moe,2464094,FAILED,Persistent UV overlay broke Ray head imports,e20eab79a0f8b7deaf6a9504f418405ded56d630,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/04_moe.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-moe-performance/2464094-logs/ray-head.log,,,,1:0,"Failed before GRPO Step 0","ModuleNotFoundError: urllib3.exceptions"
ptyche,performance,moe_router,2464095,FAILED,Persistent UV overlay broke Ray head imports,e20eab79a0f8b7deaf6a9504f418405ded56d630,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/08_moe_router.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-moe-router-performance/2464095-logs/ray-head.log,,,,1:0,"Failed before GRPO Step 0","ModuleNotFoundError: urllib3.exceptions"
ptyche,performance,moe_router+moe_preprocess,2464096,FAILED,Persistent UV overlay broke Ray head imports,e20eab79a0f8b7deaf6a9504f418405ded56d630,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/12_moe_router_preprocess.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-moe-router-preprocess-performance/2464096-logs/ray-head.log,,,,1:0,"Failed before GRPO Step 0","ModuleNotFoundError: urllib3.exceptions"
ptyche,performance,attn+mamba+moe_router+moe_preprocess,2464097,FAILED,Persistent UV overlay broke Ray head imports,e20eab79a0f8b7deaf6a9504f418405ded56d630,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/15_attn_mamba_moe_router_preprocess.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-attn-mamba-moe-router-preprocess-performance/2464097-logs/ray-head.log,,,,1:0,"Failed before GRPO Step 0","ModuleNotFoundError: urllib3.exceptions"
ptyche,performance,attn,2464548,INVALID_NO_CAPTURE,Cancelled after source audit proved the run never invoked TECudaGraphHelper,1ffbdca95c9e68648b878b381073141bd14fad7b,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/01_attn.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-attn-performance/2464548-logs/ray-driver.log,,,,,"Preflight 2464540 accepted; Ray head and driver started; monitored over 5 minutes","No TE capture or replay evidence; metrics invalid for CUDA Graph comparison"
ptyche,performance,mlp,2464549,FAILED,Nano has no dense MLP and this source revision rejected the scope,1ffbdca95c9e68648b878b381073141bd14fad7b,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/16_mlp.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-mlp-performance/2464549-logs/ray-driver.log,,,,,"Preflight 2464541 accepted; Ray head and driver started; monitored over 5 minutes","ValueError before policy step 0: unsupported module mlp"
ptyche,performance,mamba,2464550,INVALID_NO_CAPTURE,Cancelled after source audit proved the run never invoked TECudaGraphHelper,1ffbdca95c9e68648b878b381073141bd14fad7b,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/02_mamba.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-mamba-performance/2464550-logs/ray-driver.log,,,,,"Preflight 2464542 accepted; Ray head and driver started; monitored over 5 minutes","No TE capture or replay evidence; metrics invalid for CUDA Graph comparison"
ptyche,performance,moe,2464551,FAILED,Whole-MoE graph requires drop-and-pad expert capacity semantics,1ffbdca95c9e68648b878b381073141bd14fad7b,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/04_moe.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-moe-performance/2464551-logs/ray-driver.log,,,,,"Preflight 2464543 accepted; Ray head and driver started; monitored over 5 minutes","AssertionError before policy step 0: moe graph requires drop-padding MoE"
ptyche,performance,moe_router,2464552,INVALID_NO_CAPTURE,Cancelled after source audit proved the run never invoked TECudaGraphHelper,1ffbdca95c9e68648b878b381073141bd14fad7b,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/08_moe_router.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-moe-router-performance/2464552-logs/ray-driver.log,,,,,"Preflight 2464545 accepted; Ray head and driver started; monitored over 5 minutes","No TE capture or replay evidence; metrics invalid for CUDA Graph comparison"
ptyche,performance,moe_router+moe_preprocess,2464554,INVALID_NO_CAPTURE,Cancelled after source audit proved the run never invoked TECudaGraphHelper,1ffbdca95c9e68648b878b381073141bd14fad7b,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/12_moe_router_preprocess.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-moe-router-preprocess-performance/2464554-logs/ray-driver.log,,,,,"Preflight 2464546 accepted; Ray head and driver started; monitored over 5 minutes","No TE capture or replay evidence; metrics invalid for CUDA Graph comparison"
ptyche,performance,attn+mamba+moe_router+moe_preprocess,2464555,INVALID_NO_CAPTURE,Cancelled after source audit proved the run never invoked TECudaGraphHelper,1ffbdca95c9e68648b878b381073141bd14fad7b,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/15_attn_mamba_moe_router_preprocess.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-attn-mamba-moe-router-preprocess-performance/2464555-logs/ray-driver.log,,,,,"Preflight 2464547 accepted; Ray head and driver started; monitored over 5 minutes","No TE capture or replay evidence; metrics invalid for CUDA Graph comparison"
ptyche,unit_test,corrected-te-lifecycle-contract,2464975,COMPLETED,"Final CPU contract gate passed: lifecycle, packed sentinel, train-only K cap, PP schedule, and reusable launchers",c02961ec315284702abb6a01f075516b669f1c56,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../../../../tests/unit/models/megatron/test_cuda_graph_lifecycle.py,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/cg-lifecycle-unit-c02961ec3/2464975-logs/ray-driver.log,,,,0:0,"160 tests passed in 29.74s after preflight 2464974","CPU contract complete; GPU capture/replay pending five-step attn smoke"
ptyche,smoke,attn,2465030,FAILED,"Loss post-processing consumed fixed graph sentinel boundaries instead of the actual two-sequence boundaries",17e0c0150f9e2aef9a8ad5feb1452f5b6ed88b39,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/01_attn.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-attn-smoke/2465030-logs/ray-driver.log,,,,1:0,"Preflight 2465026 accepted; 32 Ray workers and both models initialized; Step 1 reached policy training","No TE capture or replay; AssertionError slicing advantages at graph sentinel sequence 2"
ptyche,unit_test,mcore-full,2465159,FAILED,"207 tests passed before an external Hugging Face 401 in a gated generation fixture",6a703f45e8e8a0cef9101562c90490adc1d5d3ce,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../../../../tests/unit/models/policy/test_patches.py,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/cg-loss-boundary-mcore-6a703f45e/2465159-logs/ray-driver.log,,,,1:0,"207 tests passed; CUDA Graph and packed-sequence tests passed","External meta-llama/Llama-3.2-1B authorization failure; not a code failure"
ptyche,unit_test,mcore-offline,2465215,COMPLETED,"Offline MCore gate excluded only the gated generation fixture",6a703f45e8e8a0cef9101562c90490adc1d5d3ce,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../../../../tests/unit/models/policy/test_patches.py,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/cg-loss-boundary-mcore-nohf-6a703f45e/2465215-logs/ray-driver.log,,,,0:0,"Preflight 2465214 accepted; 210 tests passed and 2 were deselected","MCore source and packed CUDA Graph contract gate complete"
ptyche,smoke,attn,2465217,FAILED,"Transformer Engine 2.15 THD context-parallel backward used a CUDA scalar as a Python slice bound during capture",6a703f45e8e8a0cef9101562c90490adc1d5d3ce,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/01_attn.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-attn-smoke/2465217-logs/ray-driver.log,,,,1:0,"Preflight 2465216 accepted; eager policy-training Steps 1-3 completed; Step 4 entered real TE backward capture","No completed capture or replay; CUDA operation not permitted when stream is capturing"
ptyche,unit_test,thd-cp-patch-launcher,2465362,INVALID_LAUNCHER,"Launcher passed an unsupported pytest backend filter and collected zero tests",4b000db4ea7f55446c4a330a5a7f91460ff7d2ef,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/run_thd_cp_patch_unit.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/slurm-2465362.out,,,,1:0,"Preflight 2465361 accepted","pytest exit 5; zero tests collected; superseded by 2465435"
ptyche,unit_test,thd-cp-patch,2465435,COMPLETED,"Exact TE #2898 source rewrite and bootstrap gate passed",1d2c598351105cd1ec42da955e5bb6079fabc72d,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/run_thd_cp_patch_unit.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-thd-cp-patch-unit-1d2c59835/2465435-logs/ray-driver.log,,,,0:0,"Preflight 2465434 accepted; 8 tests passed","Source rewrite idempotence and concurrent-process gate passed"
ptyche,smoke,nocg,2465406,COMPLETED,"Five-step no-CUDA-Graph comparison baseline completed",4b000db4ea7f55446c4a330a5a7f91460ff7d2ef,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/00_nocg_baked_uv_cache.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-nocg-smoke-baked-uv-cache/2465406-logs/ray-driver.log,,,,0:0,"Preflight 2465401 accepted; Steps 1-5 completed","No training CUDA Graph; valid comparison baseline"
ptyche,smoke,attn,2465399,COMPLETED,"Five-step attn graph smoke completed after TE #2898 backport",4b000db4ea7f55446c4a330a5a7f91460ff7d2ef,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/01_attn.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-attn-smoke/2465399-logs/ray-driver.log,,,,0:0,"Preflight 2465398 accepted; Steps 1-5 completed; Step 4 capture cost and Step 5 replay timing observed","No CUDA or illegal-memory failure; explicit lifecycle print was added for subsequent jobs"
ptyche,smoke,mamba,2465407,COMPLETED,"Five-step mamba graph smoke completed",4b000db4ea7f55446c4a330a5a7f91460ff7d2ef,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/02_mamba.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-mamba-smoke/2465407-logs/ray-driver.log,,,,0:0,"Preflight 2465402 accepted; Steps 1-5 completed; Step 4 capture cost and Step 5 replay timing observed","No CUDA or illegal-memory failure; explicit lifecycle print was added for subsequent jobs"
ptyche,smoke,moe_router,2465408,FAILED,"TE graph buffer reuse did not support the fp64 router probability static output",4b000db4ea7f55446c4a330a5a7f91460ff7d2ef,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/08_moe_router.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-moe-router-smoke/2465408-logs/ray-driver.log,,,,1:0,"Preflight 2465403 accepted; eager Steps 1-3 completed; Step 4 entered capture","Unsupported dtype torch.float64 in TE _WeakRefTensor; no illegal memory error"
ptyche,smoke,moe_router+moe_preprocess,2465409,FAILED,"TE graph buffer reuse did not support fp64 router and dispatcher probability outputs",4b000db4ea7f55446c4a330a5a7f91460ff7d2ef,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/12_moe_router_preprocess.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-moe-router-preprocess-smoke/2465409-logs/ray-driver.log,,,,1:0,"Preflight 2465404 accepted; eager Steps 1-3 completed; Step 4 entered capture","Unsupported dtype torch.float64 in TE _WeakRefTensor; no illegal memory error"
ptyche,smoke,attn+mamba+moe_router+moe_preprocess,2465410,FAILED,"Combined scope isolated the same fp64 router weak-reference gap",4b000db4ea7f55446c4a330a5a7f91460ff7d2ef,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/containers/nemo_rl_nightly.sqsh,../latestmain_nanov3/scopes/15_attn_mamba_moe_router_preprocess.sh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemo-rl-cg/src/RL-latestmain-nanov3-energon-20260728-6718b0a4b/exp_logs/latestmain-nanov3-attn-mamba-moe-router-preprocess-smoke/2465410-logs/ray-driver.log,,,,1:0,"Preflight 2465405 accepted; eager Steps 1-3 completed; Step 4 entered capture","Unsupported dtype torch.float64 in TE _WeakRefTensor; attn and mamba were not the failing scopes"
